CategoryID,CategoryName,Description,ProductID,ProductName,Cost,Stock,Discontinued
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",1,"Chai",18,39,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",2,"Chang",19,17,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",24,"Guaraná Fantástica",4.5,20,True
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",34,"Sasquatch Ale",14,111,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",35,"Steeleye Stout",18,20,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",38,"Côte de Blaye",263.5,17,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",39,"Chartreuse verte",18,69,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",43,"Ipoh Coffee",46,17,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",67,"Laughing Lumberjack Lager",14,52,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",70,"Outback Lager",15,15,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",75,"Rhönbräu Klosterbier",7.75,125,False
1,"Beverages","Soft drinks, coffees, teas, beers, and ales",76,"Lakkalikööri",18,57,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",3,"Aniseed Syrup",10,13,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",4,"Chef Anton's Cajun Seasoning",22,53,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",5,"Chef Anton's Gumbo Mix",21.35,0,True
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",6,"Grandma's Boysenberry Spread",25,120,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",8,"Northwoods Cranberry Sauce",40,6,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",15,"Genen Shouyu",15.5,39,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",44,"Gula Malacca",19.45,27,False
2,"Condiments","Sweet and savory sauces, relishes, spreads, and seasonings",61,"Sirop d'érable",28.5,113,False
